date,state,positive,death,recovered
2020-03-13,NE,13,,
2020-03-13,NH,6,,
2020-03-13,NJ,50,1,
2020-03-13,NM,10,,
2020-03-13,NV,11,,
2020-03-13,NY,421,,
2020-03-13,OH,13,,
2020-03-13,OK,3,,
2020-03-13,OR,30,,
2020-03-13,PA,33,,
2020-03-13,RI,14,,
2020-03-13,SC,12,,
2020-03-13,SD,9,,
2020-03-13,TN,26,,
2020-03-13,TX,39,,
2020-03-13,UT,6,,
2020-03-13,VA,30,,
2020-03-13,VT,2,,
2020-03-13,WA,457,31,
2020-03-13,WI,19,,
2020-03-13,WV,0,,
2020-03-13,WY,1,,
2020-03-12,AK,0,,
2020-03-12,AL,0,,
2020-03-12,AR,6,,
2020-03-12,AZ,9,,
2020-03-12,CA,202,4,
2020-03-12,CO,45,,
2020-03-12,CT,6,,
2020-03-12,DC,10,,
2020-03-12,DE,4,,
2020-03-12,FL,32,2,
2020-03-12,GA,31,,
2020-03-12,HI,2,,
2020-03-12,IA,14,,
2020-03-12,ID,0,,
2020-03-12,IL,25,,
2020-03-12,IN,12,,
2020-03-12,KS,4,,
2020-03-12,KY,8,,
2020-03-12,LA,14,,
2020-03-12,MA,95,,
2020-03-12,MD,12,,
2020-03-12,ME,1,,
2020-03-12,MI,2,,
2020-03-12,MN,9,,
2020-03-12,MO,1,,
2020-03-12,MS,1,,
2020-03-12,MT,1,,
2020-03-12,NC,12,,
2020-03-12,ND,1,,
2020-03-12,NE,10,,
2020-03-12,NH,6,,
2020-03-12,NJ,30,1,
2020-03-12,NM,5,,
2020-03-12,NV,7,,
2020-03-12,NY,216,,
2020-03-12,OH,5,,
2020-03-12,OK,3,,
2020-03-12,OR,19,,
2020-03-12,PA,22,,
2020-03-12,RI,5,,
2020-03-12,SC,10,,
2020-03-12,SD,8,,
2020-03-12,TN,18,,
2020-03-12,TX,23,,
2020-03-12,UT,4,,
2020-03-12,VA,17,,
2020-03-12,VT,2,,
2020-03-12,WA,337,29,
2020-03-12,WI,8,,
2020-03-12,WV,0,,
2020-03-12,WY,1,,
2020-03-11,AK,0,,
2020-03-11,AL,0,,
2020-03-11,AR,0,,
2020-03-11,AZ,9,,
2020-03-11,CA,157,,
2020-03-11,CO,28,,
2020-03-11,CT,3,,
2020-03-11,DC,4,,
2020-03-11,DE,1,,
2020-03-11,FL,28,2,
2020-03-11,GA,22,,
2020-03-11,HI,2,,
2020-03-11,IA,13,,
2020-03-11,ID,0,,
2020-03-11,IL,19,,
2020-03-11,IN,10,,
2020-03-11,KS,1,,
2020-03-11,KY,8,,
2020-03-11,LA,6,,
2020-03-11,MA,92,,
2020-03-11,MD,9,,
2020-03-11,ME,0,,
2020-03-11,MI,2,,
2020-03-11,MN,5,,
2020-03-11,MO,1,,
2020-03-11,MS,0,,
2020-03-11,MT,0,,
2020-03-11,NC,7,,
2020-03-11,ND,0,,
2020-03-11,NE,5,,
2020-03-11,NH,4,,
2020-03-11,NJ,24,1,
2020-03-11,NM,3,,
2020-03-11,NV,5,,
2020-03-11,NY,216,,
2020-03-11,OH,4,,
2020-03-11,OK,2,,
2020-03-11,OR,19,,
2020-03-11,PA,15,,
2020-03-11,RI,5,,
2020-03-11,SC,9,,
2020-03-11,SD,5,,
2020-03-11,TN,7,,
2020-03-11,TX,21,,
2020-03-11,UT,2,,
2020-03-11,VA,9,,
2020-03-11,VT,1,,
2020-03-11,WA,267,24,
2020-03-11,WI,3,,
2020-03-11,WV,0,,
2020-03-11,WY,0,,
2020-03-10,AK,0,,
2020-03-10,AL,0,,
2020-03-10,AR,0,,
2020-03-10,AZ,6,,
2020-03-10,CA,133,,
2020-03-10,CO,12,,
2020-03-10,CT,2,,
2020-03-10,DC,5,,
2020-03-10,DE,0,,
2020-03-10,FL,19,,
2020-03-10,GA,17,,
2020-03-10,HI,2,,
2020-03-10,IA,8,,
2020-03-10,ID,0,,
2020-03-10,IL,19,,
2020-03-10,IN,6,,
2020-03-10,KS,1,,
2020-03-10,KY,6,,
2020-03-10,LA,1,,
2020-03-10,MA,92,,
2020-03-10,MD,6,,
2020-03-10,ME,0,,
2020-03-10,MI,0,,
2020-03-10,MN,3,,
2020-03-10,MO,1,,
2020-03-10,MS,0,,
2020-03-10,MT,0,,
2020-03-10,NC,7,,
2020-03-10,ND,0,,
2020-03-10,NE,3,,
2020-03-10,NH,4,,
2020-03-10,NJ,15,,
2020-03-10,NM,0,,
2020-03-10,NV,0,,
2020-03-10,NY,173,,
2020-03-10,OH,3,,
2020-03-10,OK,2,,
2020-03-10,OR,15,,
2020-03-10,PA,12,,
2020-03-10,RI,3,,
2020-03-10,SC,7,,
2020-03-10,SD,0,,
2020-03-10,TN,7,,
2020-03-10,TX,13,,
2020-03-10,UT,2,,
2020-03-10,VA,8,,
2020-03-10,VT,1,,
2020-03-10,WA,162,,
2020-03-10,WI,2,,
2020-03-10,WV,0,,
2020-03-10,WY,0,,
2020-03-09,AK,0,,
2020-03-09,AL,0,,
2020-03-09,AR,0,,
2020-03-09,AZ,5,,
2020-03-09,CA,114,,
2020-03-09,CO,9,,
2020-03-09,CT,1,,
2020-03-09,DC,1,,
2020-03-09,DE,0,,
2020-03-09,FL,18,,
2020-03-09,GA,12,,
2020-03-09,HI,2,,
2020-03-09,IA,3,,
2020-03-09,ID,0,,
2020-03-09,IL,7,,
2020-03-09,IN,2,,
2020-03-09,KS,1,,
2020-03-09,KY,4,,
2020-03-09,LA,1,,
2020-03-09,MA,41,,
2020-03-09,MD,5,,
2020-03-09,ME,0,,
2020-03-09,MI,0,,
2020-03-09,MN,2,,
2020-03-09,MO,1,,
2020-03-09,MS,0,,
2020-03-09,MT,0,,
2020-03-09,NC,2,,
2020-03-09,ND,0,,
2020-03-09,NE,3,,
2020-03-09,NH,4,,
2020-03-09,NJ,11,,
2020-03-09,NM,0,,
2020-03-09,NV,1,,
2020-03-09,NY,142,,
2020-03-09,OH,3,,
2020-03-09,OK,1,,
2020-03-09,OR,14,,
2020-03-09,PA,7,,
2020-03-09,RI,3,,
2020-03-09,SC,7,,
2020-03-09,SD,0,,
2020-03-09,TN,3,,
2020-03-09,TX,12,,
2020-03-09,UT,1,,
2020-03-09,VA,3,,
2020-03-09,VT,1,,
2020-03-09,WA,136,,
2020-03-09,WI,1,,
2020-03-09,WV,0,,
2020-03-09,WY,0,,
2020-03-08,AK,0,,
2020-03-08,AL,0,,
2020-03-08,AR,0,,
2020-03-08,AZ,5,,
2020-03-08,CA,88,,
2020-03-08,CO,8,,
2020-03-08,CT,1,,
2020-03-08,DC,1,,
2020-03-08,DE,0,,
2020-03-08,FL,17,,
2020-03-08,GA,7,,
2020-03-08,HI,1,,
2020-03-08,IA,0,,
2020-03-08,ID,0,,
2020-03-08,IL,6,,
2020-03-08,IN,2,,
2020-03-08,KS,1,,
2020-03-08,KY,1,,
2020-03-08,LA,0,,
2020-03-08,MA,13,,
2020-03-08,MD,3,,
2020-03-08,ME,0,,
2020-03-08,MI,0,,
2020-03-08,MN,1,,
2020-03-08,MO,1,,
2020-03-08,MS,0,,
2020-03-08,MT,0,,
2020-03-08,NC,2,,
2020-03-08,ND,0,,
2020-03-08,NE,1,,
2020-03-08,NH,4,,
2020-03-08,NJ,6,,
2020-03-08,NM,0,,
2020-03-08,NV,1,,
2020-03-08,NY,105,,
2020-03-08,OH,0,,
2020-03-08,OK,1,,
2020-03-08,OR,14,,
2020-03-08,PA,4,,
2020-03-08,RI,3,,
2020-03-08,SC,2,,
2020-03-08,SD,0,,
2020-03-08,TN,3,,
2020-03-08,TX,8,,
2020-03-08,UT,1,,
2020-03-08,VA,2,,
2020-03-08,VT,1,,
2020-03-08,WA,102,,
2020-03-08,WI,1,,
2020-03-08,WV,0,,
2020-03-08,WY,0,,
2020-03-07,AK,0,,
2020-03-07,AL,0,,
2020-03-07,AR,0,,
2020-03-07,AZ,5,,
2020-03-07,CA,69,,
2020-03-07,CO,8,,
2020-03-07,CT,0,,
2020-03-07,DC,0,,
2020-03-07,DE,0,,
2020-03-07,FL,14,,
2020-03-07,GA,6,,
2020-03-07,HI,1,,
2020-03-07,IA,0,,
2020-03-07,ID,0,,
2020-03-07,IL,6,,
2020-03-07,IN,1,,
2020-03-07,KS,0,,
2020-03-07,KY,1,,
2020-03-07,LA,0,,
2020-03-07,MA,13,,
2020-03-07,MD,3,,
2020-03-07,ME,0,,
2020-03-07,MI,0,,
2020-03-07,MN,1,,
2020-03-07,MO,0,,
2020-03-07,MS,0,,
2020-03-07,MT,0,,
2020-03-07,NC,2,,
2020-03-07,ND,0,,
2020-03-07,NE,1,,
2020-03-07,NH,2,,
2020-03-07,NJ,4,,
2020-03-07,NM,0,,
2020-03-07,NV,1,,
2020-03-07,NY,76,,
2020-03-07,OH,0,,
2020-03-07,OK,1,,
2020-03-07,OR,7,,
2020-03-07,PA,2,,
2020-03-07,RI,2,,
2020-03-07,SC,2,,
2020-03-07,SD,0,,
2020-03-07,TN,1,,
2020-03-07,TX,8,,
2020-03-07,UT,1,,
2020-03-07,VA,0,,
2020-03-07,VT,0,,
2020-03-07,WA,102,,
2020-03-07,WI,1,,
2020-03-07,WV,0,,
2020-03-07,WY,0,,
2020-03-06,AK,0,,
2020-03-06,AR,0,,
2020-03-06,AZ,3,,
2020-03-06,CA,60,,
2020-03-06,CO,2,,
2020-03-06,DC,0,,
2020-03-06,DE,0,,
2020-03-06,FL,9,,
2020-03-06,GA,2,,
2020-03-06,IA,0,,
2020-03-06,IL,5,,
2020-03-06,IN,1,,
2020-03-06,KS,0,,
2020-03-06,KY,0,,
2020-03-06,MA,8,,
2020-03-06,MD,3,,
2020-03-06,MI,0,,
2020-03-06,MN,0,,
2020-03-06,NC,2,,
2020-03-06,NE,0,,
2020-03-06,NH,2,,
2020-03-06,NJ,1,,
2020-03-06,NM,0,,
2020-03-06,NV,1,,
2020-03-06,NY,33,,
2020-03-06,OH,0,,
2020-03-06,OR,3,,
2020-03-06,PA,2,,
2020-03-06,SC,0,,
2020-03-06,TN,1,,
2020-03-06,TX,5,,
2020-03-06,VA,0,,
2020-03-06,VT,0,,
2020-03-06,WA,79,,
2020-03-06,WI,1,,
2020-03-06,WV,0,,
2020-03-05,AZ,2,,
2020-03-05,CA,53,,
2020-03-05,CO,0,,
2020-03-05,DC,0,,
2020-03-05,FL,9,,
2020-03-05,GA,2,,
2020-03-05,IL,5,,
2020-03-05,MA,2,,
2020-03-05,MD,0,,
2020-03-05,MI,0,,
2020-03-05,NC,1,,
2020-03-05,NE,0,,
2020-03-05,NH,2,,
2020-03-05,NJ,1,,
2020-03-05,NV,1,,
2020-03-05,NY,22,,
2020-03-05,OH,0,,
2020-03-05,OR,3,,
2020-03-05,SC,0,,
2020-03-05,TN,1,,
2020-03-05,TX,1,,
2020-03-05,VA,0,,
2020-03-05,WA,70,,
2020-03-05,WI,1,,
2020-03-04,AZ,2,,
2020-03-04,CA,53,,
2020-03-04,FL,2,,
2020-03-04,GA,2,,
2020-03-04,IL,4,,
2020-03-04,MA,2,,
2020-03-04,NC,1,,
2020-03-04,NH,2,,
2020-03-04,NY,6,,
2020-03-04,OR,3,,
2020-03-04,SC,0,,
2020-03-04,TX,1,,
2020-03-04,WA,39,,
2020-03-04,WI,1,,
